speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean
John McCain,"Im not going to set the White House visitors schedule before Im president of the United States. I dont even have a seal yet. Look, Dr. Kissinger did not say that he would approve of face- to- face meetings between the president of the United States and the president — and Ahmadinejad. He did not say that.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,Of course not.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"He said that there could be secretary- level and lower level meetings. Ive always encouraged them. The Iranians have met with Ambassador Crocker in Baghdad. What Senator Obama doesnt seem to understand that if without precondition you sit down across the table from someone who has called Israel a “stinking corpse, ” and wants to destroy that country and wipe it off the map, you legitimize those comments. This is dangerous. It isnt just naive; its dangerous. And so we just have a fundamental difference of opinion. As far as North Korea is concerned, our secretary of state, Madeleine Albright, went to North Korea. By the way, North Korea, most repressive and brutal regime probably on Earth. The average South Korean is three inches taller than the average North Korean, a huge gulag. We dont know what the status of the dear leaders health is today, but we know this, that the North Koreans have broken every agreement that theyve entered into. And we ought to go back to a little bit of Ronald Reagans “trust, but verify, ” and certainly not sit down across the table from — without precondition, as Senator Obama said he did twice, I mean, its just dangerous.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Look, I mean, Senator McCain keeps on using this example that suddenly the president would just meet with somebody without doing any preparation, without having low- level talks. Nobodys been talking about that, and Senator McCain knows it. This is a mischaracterization of my position. When we talk about preconditions — and Henry Kissinger did say we should have contacts without preconditions — the idea is that we do not expect to solve every problem before we initiate talks. And, you know, the Bush administration has come to recognize that it hasnt worked, this notion that we are simply silent when it comes to our enemies. And the notion that we would sit with Ahmadinejad and not say anything while hes spewing his nonsense and his vile comments is ridiculous. Nobody is even talking about that.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"So let me get this right. We sit down with Ahmadinejad, and he says, “Were going to wipe Israel off the face of the Earth, ” and we say, “No, youre not” ? Oh, please.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"No, let me tell… (CROSSTALK)",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"By the way, my friend, Dr. Kissinger, whos been my friend for 35 years, would be interested to hear this conversation and Senator Obamas depiction of his — of his positions on the issue. Ive known him for 35 years.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,We will take a look.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,And I guarantee you he would not — he would not say that presidential top level.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,Nobodys talking about that.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Of course he encourages and other people encourage contacts, and negotiations, and all other things. We do that all the time.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,Were going to go to a new… (CROSSTALK),Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,And Senator Obama is parsing words when he says precondition means preparation.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,I am not parsing words.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Hes parsing words, my friends.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Im using the same words that your advisers use. Please, go ahead.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"New lead question. Russia, goes to you, two minutes, Senator Obama. How do you see the relationship with Russia? Do you see them as a competitor? Do you see them as an enemy? Do you see them as a potential partner?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, I think that, given whats happened over the last several weeks and months, our entire Russian approach has to be evaluated, because a resurgent and very aggressive Russia is a threat to the peace and stability of the region. Their actions in Georgia were unacceptable. They were unwarranted. And at this point, it is absolutely critical for the next president to make clear that we have to follow through on our six- party — or the six- point cease- fire. They have to remove themselves from South Ossetia and Abkhazia. It is absolutely important that we have a unified alliance and that we explain to the Russians that you cannot be a 21st- century superpower, or power, and act like a 20th- century dictatorship. And we also have to affirm all the fledgling democracies in that region, you know, the Estonians, the Lithuanians, the Latvians, the Poles, the Czechs, that we are, in fact, going to be supportive and in solidarity with them in their efforts. They are members of NATO. And to countries like Georgia and the Ukraine, I think we have to insist that they are free to join NATO if they meet the requirements, and they should have a membership action plan immediately to start bringing them in. Now, we also cant return to a Cold War posture with respect to Russia. Its important that we recognize there are going to be some areas of common interest. One is nuclear proliferation. They have not only 15, 000 nuclear warheads, but theyve got enough to make another 40, 000, and some of those loose nukes could fall into the hands of Al Qaida. This is an area where Ive led on in the Senate, working with a Republican ranking member of the Senate Foreign Relations Committee, Dick Lugar, to deal with the proliferation of loose nuclear weapons. Thats an area where were going to have to work with Russia. But we have to have a president who is clear that you dont deal with Russia based on staring into his eyes and seeing his soul. You deal with Russia based on, what are your — what are the national security interests of the United States of America? And we have to recognize that the way theyve been behaving lately demands a sharp response from the international community and our allies.",Pres,2008,2008-09-26,1,What should be the United States' approach to dealing with Russia in light of its recent aggressive actions?,"New lead question. Russia, goes to you, two minutes, Senator Obama. How do you see the relationship with Russia? Do you see them as a competitor? Do you see them as an enemy? Do you see them as a potential partner?",0.9694820642471313,0.9584144353866577,0.9145411252975464,0.7770541310310364,Democratic,What should be the U.S. approach towards a resurgent and aggressive Russia to ensure peace and stability in the region?
Jim Lehrer,"Two minutes on Russia, Senator McCain.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Well, I was interested in Senator Obamas reaction to the Russian aggression against Georgia. His first statement was, “Both sides ought to show restraint. ” Again, a little bit of naivete there. He doesnt understand that Russia committed serious aggression against Georgia. And Russia has now become a nation fueled by petro- dollars that is basically a KGB apparatchik- run government. I looked into Mr. Putins eyes, and I saw three letters, a “K, ” a “G, ” and a “B. ” And their aggression in Georgia is not acceptable behavior. I dont believe were going to go back to the Cold War. I am sure that that will not happen. But I do believe that we need to bolster our friends and allies. And that wasnt just about a problem between Georgia and Russia. It had everything to do with energy. Theres a pipeline that runs from the Caspian through Georgia through Turkey. And, of course, we know that the Russians control other sources of energy into Europe, which they have used from time to time. Its not accidental that the presidents of Latvia, Estonia, Lithuania, Poland, and Ukraine flew to Georgia, flew to Tbilisi, where I have spent significant amount of time with a great young president, Misha Saakashvili.",Pres,2008,2008-09-26,1,What is the appropriate response to Russian aggression towards Georgia and the implications for U.S. foreign policy in the region?,"New lead question. Russia, goes to you, two minutes, Senator Obama. How do you see the relationship with Russia? Do you see them as a competitor? Do you see them as an enemy? Do you see them as a potential partner?",0.9348371028900146,0.9480071663856506,0.8884249925613403,0.7426828145980835,Republican,What is Senator Obama's reaction to the Russian aggression against Georgia?
John McCain,"And they showed solidarity with them, but, also, they are very concerned about the Russian threats to regain their status of the old Russian to regain their status of the old Russian empire. Now, I think the Russians ought to understand that we will support — we, the United States — will support the inclusion of Georgia and Ukraine in the natural process, inclusion into NATO. We also ought to make it very clear that the Russians are in violation of their cease- fire agreement. They have stationed additional troops in Abkhazia and South Ossetia. By the way, I went there once, and we went inside and drove in, and there was a huge poster. And this is — this is Georgian territory. And there was a huge poster of Vladimir Putin, and it said, “Vladimir Putin, our president. ” It was very clear, the Russian intentions towards Georgia. They were just waiting to seize the opportunity. So, this is a very difficult situation. We want to work with the Russians. But we also have every right to expect the Russians to behave in a fashion and keeping with a — with a — with a country who respects international boundaries and the norms of international behavior. And watch Ukraine. This whole thing has got a lot to do with Ukraine, Crimea, the base of the Russian fleet in Sevastopol. And the breakdown of the political process in Ukraine between Tymoshenko and Yushchenko is a very serious problem. So watch Ukraine, and lets make sure that we — that the Ukrainians understand that we are their friend and ally.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,You see any — do you have a major difference with what he just said?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"No, actually, I think Senator McCain and I agree for the most part on these issues. Obviously, I disagree with this notion that somehow we did not forcefully object to Russians going into Georgia. I immediately said that this was illegal and objectionable. And, absolutely, I wanted a cessation of the violence, because it put an enormous strain on Georgia, and thats why I was the first to say that we have to rebuild the Georgian economy and called for a billion dollars that has now gone in to help them rebuild. Because part of Russias intentions here was to weaken the economy to the point where President Saakashvili was so weakened that he might be replaced by somebody that Putin favored more. Two points I think are important to think about when it comes to Russia. Number one is we have to have foresight and anticipate some of these problems. So back in April, I warned the administration that you had Russian peacekeepers in Georgian territory. That made no sense whatsoever. And what we needed to do was replace them with international peacekeepers and a special envoy to resolve the crisis before it boiled over. That wasnt done. But had it been done, its possible we could have avoided the issue. The second point I want to make is — is the issue of energy. Russia is in part resurgent and Putin is feeling powerful because of petro- dollars, as Senator McCain mentioned. That means that we, as one of the biggest consumers of oil — 25 percent of the worlds oil — have to have an energy strategy not just to deal with Russia, but to deal with many of the rogue states weve talked about, Iran, Venezuela. And that means, yes, increasing domestic production and off- shore drilling, but we only have 3 percent of the worlds oil supplies and we use 25 percent of the worlds oil. So we cant simply drill our way out of the problem. What were going to have to do is to approach it through alternative energy, like solar, and wind, and biodiesel, and, yes, nuclear energy, clean- coal technology. And, you know, Ive got a plan for us to make a significant investment over the next 10 years to do that. And I have to say, Senator McCain and I, I think agree on the importance of energy, but Senator McCain mentioned earlier the importance of looking at a record. Over 26 years, Senator McCain voted 23 times against alternative energy, like solar, and wind, and biodiesel. And so we — we — weve got to walk the walk and not just talk the talk when it comes to energy independence, because this is probably going to be just as vital for our economy and the pain that people are feeling at the pump — and, you know, winters coming and home heating oil — as it is our national security and the issue of climate change thats so important.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Weve got time for one more lead question segment. Were way out of… (CROSSTALK),Pres,2008,2008-09-26,0,,,,,,,Moderator,
Jim Lehrer,Quick response and then… (CROSSTALK),Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"No one from Arizona is against solar. And Senator Obama says hes for nuclear, but hes against reprocessing and hes against storing. So…",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Thats just not true, John. John, Im sorry, but thats not true.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"… its hard to get there from here. And off- shore drilling is also something that is very important and it is a bridge. And we know that, if we drill off- shore and exploit a lot of these reserves, it will help, at temporarily, relieve our energy requirements. And it will have, I think, an important effect on the price of a barrel of oil.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"I just have to respond very quickly, just to correct — just to correct the record.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"So I want to say that, with the Nunn- Lugar thing…",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Excuse me, Senator.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,John?,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,… I supported Nunn- Lugar back in the early 1990s when a lot of my colleagues didnt. That was the key legislation at the time and put us on the road to eliminating this issue of nuclear waste and the nuclear fuel that has to be taken care of.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"I — I just have to correct the record here. I have never said that I object to nuclear waste. What Ive said is that we have to store it safely. And, Senator McCain, he says — he talks about Arizona.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,All right.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Ive got to make this point, Jim.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,ok.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,He objects…,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,I have voted for alternate fuel all of my time…,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,He — he — he objects… (CROSSTALK),Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"One at a time, please.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,He objected…,Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,One at a time.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,No one can be opposed to alternate energy.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"All right, fair enough. Lets move on. Youve got one more energy — youve got one more question.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"This is the last — last lead question. You have two minutes each. And the question is this, beginning with you, Senator McCain. What do you think the likelihood is that there would be another 9/11- type attack on the continental United States?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"I think its much less than it was the day after 9/11. I think it — that we have a safer nation, but we are a long way from safe. And I want to tell you that one of the things Im most proud of, among others, because I have worked across the aisle. I have a long record on that, on a long series of reforms. But after 9/11, Senator Joe Lieberman and I decided that we needed a commission, and that was a commission to investigate 9/11, and find out what happened, and fix it. And we were — we were opposed by the administration, another area where I differed with this administration. And we were stymied until the families of 9/11 came, and they descended on Washington, and we got that legislation passed. And there were a series of recommendations, as I recall, more than 40. And Im happy to say that weve gotten written into law most of those reforms recommended by that commission. Im proud of that work, again, bipartisan, reaching across the aisle, working together, Democrat and Republican alike. So we have a long way to go in our intelligence services. We have to do a better job in human intelligence. And weve got to — to make sure that we have people who are trained interrogators so that we dont ever torture a prisoner ever again. We have to make sure that our technological and intelligence capabilities are better. We have to work more closely with our allies. I know our allies, and I can work much more closely with them. But I can tell you that I think America is safer today than it was on 9/11. But that doesnt mean that we dont have a long way to go. And Id like to remind you, also, as a result of those recommendations, weve probably had the largest reorganization of government since we established the Defense Department. And I think that those men and women in those agencies are doing a great job. But we still have a long way to go before we can declare America safe, and that means doing a better job along our borders, as well.",Pres,2008,2008-09-26,1,"How has the United States made progress in enhancing national security since 9/11, and what areas still require improvement?","This is the last — last lead question. You have two minutes each. And the question is this, beginning with you, Senator McCain. What do you think the likelihood is that there would be another 9/11- type attack on the continental United States?",0.9388220906257629,0.9351677894592285,0.8512692451477051,0.648257851600647,Republican,How do we ensure America is safer and improve our intelligence services and border security?
Jim Lehrer,"Two minutes, Senator Obama.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, first of all, I think that we are safer in some ways. Obviously, weve poured billions of dollars into airport security. We have done some work in terms of securing potential targets, but we still have a long way to go. Weve got to make sure that were hardening our chemical sites. We havent done enough in terms of transit; we havent done enough in terms of ports. And the biggest threat that we face right now is not a nuclear missile coming over the skies. Its in a suitcase. This is why the issue of nuclear proliferation is so important. It is the — the biggest threat to the United States is a terrorist getting their hands on nuclear weapons. And we — we are spending billions of dollars on missile defense. And I actually believe that we need missile defense, because of Iran and North Korea and the potential for them to obtain or to launch nuclear weapons, but I also believe that, when we are only spending a few hundred million dollars on nuclear proliferation, then were making a mistake. The other thing that we have to focus on, though, is Al Qaida. They are now operating in 60 countries. We cant simply be focused on Iraq. We have to go to the root cause, and that is in Afghanistan and Pakistan. Thats going to be critical. We are going to need more cooperation with our allies. And one last point I want to make. It is important for us to understand that the way we are perceived in the world is going to make a difference, in terms of our capacity to get cooperation and root out terrorism. And one of the things that I intend to do as president is to restore Americas standing in the world. We are less respected now than we were eight years ago or even four years ago.",Pres,2008,2008-09-26,1,What steps should be taken to enhance national security and address the threats posed by nuclear proliferation and terrorism?,"This is the last — last lead question. You have two minutes each. And the question is this, beginning with you, Senator McCain. What do you think the likelihood is that there would be another 9/11- type attack on the continental United States?",0.9430729746818542,0.9455469846725464,0.9031537771224976,0.7111716270446777,Democratic,What is the biggest threat to the United States regarding nuclear proliferation and terrorism?
Barack Obama,"And this is the greatest country on Earth. But because of some of the mistakes that have been made — and I give Senator McCain great credit on the torture issue, for having identified that as something that undermines our long- term security — because of those things, we, I think, are going to have a lot of work to do in the next administration to restore that sense that America is that shining beacon on a hill.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Do you agree theres much to be done in a new administration to restore… (CROSSTALK),Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"But in the case of missile defense, Senator Obama said it had to be, quote, “proven. ” That wasnt proven when Ronald Reagan said we would do SDI, which is missile defense. And it was major — a major factor in bringing about the end of the Cold War. We seem to come full circle again. Senator Obama still doesnt quite understand — or doesnt get it — that if we fail in Iraq, it encourages Al Qaida. They would establish a base in Iraq. The consequences of defeat, which would result from his plan of withdrawal and according to date certain, regardless of conditions, according to our military leaders, according to every expert, would lead to defeat — possible defeat, loss of all the fragile sacrifice that weve made of American blood and treasure, which grieves us all. All of that would be lost if we followed Senator Obamas plan to have specific dates with withdrawal, regardless of conditions on the ground. And General Petraeus says we have had great success, but its very fragile. And we cant do what Senator Obama wants to do. That is the central issue of our time. And I think Americans will judge very seriously as to whether thats the right path or the wrong path and who should be the next president of the United States.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,You see the same connections that Senator McCain does?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Oh, theres no doubt. Look, over the last eight years, this administration, along with Senator McCain, have been solely focused on Iraq. That has been their priority. That has been where all our resources have gone. In the meantime, bin Laden is still out there. He is not captured. He is not killed. Al Qaida is resurgent. In the meantime, weve got challenges, for example, with China, where we are borrowing billions of dollars. They now hold a trillion dollars worth of our debt. And they are active in countries like — in regions like Latin America, and Asia, and Africa. They are — the conspicuousness of their presence is only matched by our absence, because weve been focused on Iraq. We have weakened our capacity to project power around the world because we have viewed everything through this single lens, not to mention, look at our economy. We are now spending $10 billion or more every month. And that means we cant provide health care to people who need it. We cant invest in science and technology, which will determine whether or not we are going to be competitive in the long term. There has never been a country on Earth that saw its economy decline and yet maintained its military superiority. So this is a national security issue. We havent adequately funded veterans care. I sit on the Veterans Affairs Committee, and weve got — I meet veterans all across the country who are trying to figure out, “How can I get disability payments? Ive got post- traumatic stress disorder, and yet I cant get treatment. ” So we have put all chips in, right there, and nobody is talking about losing this war. What we are talking about is recognizing that the next president has to have a broader strategic vision about all the challenges that we face. Thats been missing over the last eight years. That sense is something that I want to restore.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Ive been involved, as I mentioned to you before, in virtually every major national security challenge weve faced in the last 20- some years. There are some advantages to experience, and knowledge, and judgment. And I — and I honestly dont believe that Senator Obama has the knowledge or experience and has made the wrong judgments in a number of areas, including his initial reaction to Russian invasion — aggression in Georgia, to his — you know, weve seen this stubbornness before in this administration to cling to a belief that somehow the surge has not succeeded and failing to acknowledge that he was wrong about the surge is — shows to me that we — that — that we need more flexibility in a president of the United States than that. As far as our other issues that he brought up are concerned, I know the veterans. I know them well. And I know that they know that Ill take care of them. And Ive been proud of their support and their recognition of my service to the veterans. And I love them. And Ill take care of them. And they know that Ill take care of them. And thats going to be my job. But, also, I have the ability, and the knowledge, and the background to make the right judgments, to keep this country safe and secure. Reform, prosperity, and peace, these are major challenges to the United States of America. I dont think I need any on- the- job training. Im ready to go at it right now.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Well, let me just make a closing point. You know, my father came from Kenya. Thats where I get my name. And in the 60s, he wrote letter after letter to come to college here in the United States because the notion was that there was no other country on Earth where you could make it if you tried. The ideals and the values of the United States inspired the entire world. I dont think any of us can say that our standing in the world now, the way children around the world look at the United States, is the same. And part of what we need to do, what the next president has to do — and this is part of our judgment, this is part of how were going to keep America safe — is to — to send a message to the world that we are going to invest in issues like education, we are going to invest in issues that — that relate to how ordinary people are able to live out their dreams. And that is something that Im going to be committed to as president of the United States.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Few seconds. Were almost finished.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Jim, when I came home from prison, I saw our veterans being very badly treated, and it made me sad. And I embarked on an effort to resolve the POW- MIA issue, which we did in a bipartisan fashion, and then I worked on normalization of relations between our two countries so that our veterans could come all the way home. I guarantee you, as president of the United States, I know how to heal the wounds of war, I know how to deal with our adversaries, and I know how to deal with our friends.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"And that ends this debate tonight. On October 2nd, next Thursday, also at 9 00 p. m. Eastern time, the two vice presidential candidates will debate at Washington University in St. Louis. My PBS colleague, Gwen Ifill, will be the moderator. For now, from Oxford, Mississippi, thank you, senators, both. Im Jim Lehrer. Thank you, and good night. (APPLAUSE) ENDTranscription by; CQ Transcriptions/MorningsideSeptember 26, 2008The First McCain- Obama Presidential Debate FIRST PRESIDENTIAL CANDIDATES DEBATETHE UNIVERSITY OF MISSISSIPPI, OXFORD",Pres,2008,2008-09-26,0,,,,,,,Moderator,
